query,accuracy
pos135928_140158_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/29459/0_4641,75.00%
pos120896_119275_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/29926/0_14941,0%
pos262858_257736_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/30064/0_5245,0%
pos93382_84725_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/3018/1211_10061,0%
pos152093_145286_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/30369/8718_17110,38.10%
pos104404_100105_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/31229/0_7367,0%
pos268631_274013_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/31464/0_5509,85.71%
pos73918_71811_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/31607/4543_9689,0%
pos253042_250148_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/32405/0_7300,0%
pos86721_81541_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/32533/0_5267,0%
pos37629_36325_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/33809/12306_16139,16.67%
pos186186_191582_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/33932/19_5717,66.67%
pos80372_83554_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/34121/5929_11666,60.00%
pos269479_260491_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/34195/4014_13615,0%
pos87054_92297_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/3435/4777_12230,42.86%
pos260841_262709_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/34513/16310_19683,0.00%
pos65024_66870_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/3506/0_6864,0.00%
pos106774_110563_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/35239/0_9696,81.25%
pos267743_275277_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/35287/0_7904,70.00%
pos35306_26269_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/35838/0_13734,0%
pos96087_89476_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/36171/0_6892,0%
pos21108_17685_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/36202/1276_5348,0%
pos21594_18375_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/36264/0_3362,0%
pos36325_37633_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/36611/0_3065,100.00%
pos152909_157083_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/36732/4438_8712,50.00%
pos55157_49259_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/36909/4498_14491,0%
pos154973_146875_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/37313/0_8598,100.00%
pos280636_282917_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/37462/0_10549,46.15%
pos197173_193104_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/37481/2184_6867,0%
pos272193_264903_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/37777/0_7416,0%
pos120673_124577_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/3821/4568_8793,100.00%
pos116018_117764_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/38247/508_6792,0.00%
pos19867_16784_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/38293/0_3118,0%
pos243636_242301_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/38341/1256_5689,0%
pos67729_81287_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/38606/0_14009,62.50%
pos155459_163606_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/38700/0_8558,66.67%
pos68364_69003_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/38965/10547_14037,0%
pos150387_157111_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/39530/3678_12945,66.67%
pos253039_250195_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/40396/2224_11581,0%
pos19694_21791_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/40472/7788_17567,0.00%
pos84461_82969_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/41850/4221_10381,0%
pos137476_140158_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/41890/0_5102,46.67%
pos203847_207037_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/41896/395_3960,0.00%
pos124899_127471_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/42258/0_3981,100.00%
pos140158_133341_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/42476/0_11977,0%
pos59636_56258_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/42787/6054_11357,0%
pos213438_209515_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/43129/0_5332,0%
pos163622_152443_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/43552/0_11266,0%
pos97723_94616_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/43918/2664_17099,0%
